A4,Ач,
API Endpoint,API төгсгөлийн цэг,
API Key,Опи гэж юу вэ?,
Access Token,Токен руу нэвтрэх,
Account,Данс,
Accounts Manager,Бүртгэлийн менежер,
Accounts User,Бүртгэл Хэрэглэгч,
Action,Үйлдэл,
Actions,Үйлдлүүд,
Active,Идэвхтэй,
Add,Нэмэх,
Add Comment,Сэтгэгдэл нэмэх,
Add Row,Мөр нэмэх,
Address,Хаяг,
Address Line 2,Хаягийн мөр 2,
Address Title,Хаягийн гарчиг,
Address Type,Хаягийн төрөл,
Administrator,Администратор,
All Day,Бүх өдөр,
Allow Delete,Устгахыг зөвшөөрөх,
Amended From,-аас нэмэлт өөрчлөлт оруулсан,
Amount,Дүн,
Applicable For,Хэрэглэх боломжтой,
Approval Status,Зөвшөөрлийн статус,
Assign,Даалгах,
Assign To,Даалгах,
Attachment,Хавсралт,
Attachments,Хавсралтууд,
Author,Зохиогч,
Auto Repeat,Автомат давталт,
Base URL,Үндсэн URL,
Based On,Үндэслэн,
Beginner,Эхлэгч,
Billing,Тооцоо,
Cancel,Цуцлах,
Category,Ангилал,
Category Name,Ангилал нэр,
City,Хот,
City/Town,Хот/Хот,
Client,Үйлчлүүлэгч,
Client ID,Үйлчлүүлэгчийн ID,
Client Secret,Үйлчлүүлэгчийн нууц,
Closed,Хаалттай,
Code,Код,
Collapse All,Бүгдийг нураа,
Color,Өнгө,
Company Name,Компанийн нэр,
Condition,Нөхцөл байдал,
Contact,Холбоо барих,
Contact Details,Холбоо барих мэдээлэл,
Content,Агуулга,
Content Type,Агуулгын төрөл,
Create,Үүсгэх,
Created By,Бүтээсэн байгуулсан зохион бүтээсэн,
Current,Одоогийн,
Custom HTML,Тусгай HTML,
Custom?,Захиалгат уу?,
Date Format,Огнооны формат,
Datetime,Он сар өдөр цаг,
Day,Өдөр,
Default Letter Head,Өгөгдмөл бичгийн толгой,
Defaults,Өгөгдмөл,
Delivery Status,Хүргэлтийн байдал,
Department,хэлтэс,
Details,Дэлгэрэнгүй мэдээлэл,
Document Name,Баримт бичгийн нэр,
Document Status,Баримт бичгийн төлөв,
Document Type,Баримт бичгийн төрөл,
Domain,Домэйн,
Domains,Домэйн,
Draft,Ноорог,
Edit,Засварлах,
Email Account,Имэйл бүртгэл,
Email Address,Имэйл хаяг,
Email ID,Имэйл ID,
Email Sent,Имэйл илгээсэн,
Email Template,Имэйлийн загвар,
Enable,Идэвхжүүлэх,
Enabled,Идэвхжүүлсэн,
End Date,Дуусах огноо,
Error Code: {0},Алдааны код: {0},
Error Log,Алдааны бүртгэл,
Event,Үйл явдал,
Expand All,Бүх өргөжүүлэх,
Fail,Амжилтгүй,
Failed,Амжилтгүй,
Fax,Факс,
Feedback,Санал хүсэлт,
Female,Эмэгтэй,
Field Name,Талбайн нэр,
Fieldname,Талбайн нэр,
Fields,Талбайнууд,
First Name,Нэр,
Frequency,Давтамж,
