) for {0},) {0}-д,
A {0} exists between {1} and {2} (,{1} болон {2} хооронд {0} байна (,
Absent,Байхгүй,
Accrual Journal Entry for salaries from {0} to {1},{0}-с {1} хүртэлх цалингийн аккруэл журналын бичилт,
Add to Details,Дэлгэрэнгүй мэдээлэлд нэмнэ үү,
Added to details,Дэлгэрэнгүй мэдээлэлд нэмсэн,
All Jobs,Бүх ажлын байр,
Allocated Leaves,Хуваарилагдсан навч,
Annual Salary,Жилийн цалин,
Application period cannot be across two allocation records,Өргөдөл гаргах хугацаа нь хоёр хуваарилалтын бүртгэлд байж болохгүй,
Application period cannot be outside leave allocation period,Өргөдөл гаргах хугацаа нь чөлөө олгох хугацаанаас гадуур байж болохгүй,
Apply Now,Одоо хэрэгжүүлэх,
Apprentice,Дагалдан,
Approval Status,Зөвшөөрлийн статус,
Approval Status must be 'Approved' or 'Rejected',"Зөвшөөрлийн статус нь ""Батлагдсан"" эсвэл ""Татгалзсан"" байх ёстой",
Approve,Зөвшөөрөх,
As per your assigned Salary Structure you cannot apply for benefits,Таны томилсон Цалингийн бүтцийн дагуу та тэтгэмж авах хүсэлт гаргах боломжгүй,
Assign,Даалгах,
Assign Salary Structure,Цалингийн бүтцийг томилох,
Assign to Employees,Ажилчдад хуваарилах,
Assigning Structures...,Бүтцийг оноож байна...,
Attendance,Ирц,
Attendance From Date and Attendance To Date is mandatory,Огнооноос өнөөг хүртэлх ирц заавал байх ёстой,
Attendance for employee {0} is already marked for this day,{0} ажилтны ирцийг энэ өдөр аль хэдийн тэмдэглэсэн байна,
Attendance not submitted for {0} as it is a Holiday.,Амралтын өдөр тул {0}-д ирц ирүүлээгүй.,
Bank Entries,Банкны бүртгэл,
Base,Суурь,
Beginner,Эхлэгч,
Birthday Reminder,Төрсөн өдрийн сануулга,
Bonus Payment Date cannot be a past date,Бонус төлөх огноо нь өнгөрсөн огноо байж болохгүй,
Calls,Дуудлага,
Cannot find active Leave Period,Идэвхтэй чөлөө авах хугацааг олж чадсангүй,
Casual Leave,Энгийн чөлөө,
Claimed Amount,Нэхэмжлэгдсэн дүн,
Compensatory Off,Нөхөн олговрыг унтраах,
Contact Number,Холбогдох дугаар,
Course,Мэдээж,
Create Disbursement Entry,Төлбөрийн бүртгэл үүсгэх,
Create Salary Slip,Цалингийн хуудас үүсгэх,
Create Salary Slips,Цалингийн хуудас үүсгэх,
Creating Payment Entries......,Төлбөрийн бичилт үүсгэж байна......,
Creating Salary Slips...,Цалингийн хуудас үүсгэж байна...,
Current,Одоогийн,
Current Job Openings,Одоогийн нээлттэй ажлын байр,
Daily Work Summary,Өдөр тутмын ажлын хураангуй,
Daily Work Summary Group,Өдөр тутмын ажлын тойм бүлэг,
Date is repeated,Огноо давтагдана,
Debit A/C Number,Дебит A/C дугаар,
Deduction,Суутгал,
Document Status,Баримт бичгийн төлөв,
Earning,Орлого,
Employee A/C Number,Ажилтны A/C дугаар,
Employee Benefits,Ажилчдын тэтгэмж,
Employee Grade,Ажилтны зэрэг,
Employee Referral,Ажилтаны лавлагаа,
Employee relieved on {0} must be set as 'Left',"{0}-д чөлөөлөгдсөн ажилтныг ""Зүүн"" гэж тохируулах ёстой",
Employee {0} already submited an apllication {1} for the payroll period {2},Ажилтан {0} аль хэдийн {2} цалингийн хугацаанд {1} өргөдлөө өгсөн байна,
Employee {0} has no maximum benefit amount,{0} ажилтанд тэтгэмжийн дээд хэмжээ байхгүй,
Employee {0} is not active or does not exist,Ажилтан {0} идэвхгүй эсвэл байхгүй байна,
Employee {0} is on Leave on {1},Ажилтан {0} {1}-д амарна,
Employee {0} on Half day on {1},Ажилтан {0} хагас өдөр {1},
End time cannot be before start time,Дуусах цаг нь эхлэх цагаас өмнө байж болохгүй,
Evaluation,Үнэлгээ,
Event Location,Үйл явдлын байршил,
Event Name,Үйл явдлын нэр,
Expense Claim for Vehicle Log {0},Тээврийн хэрэгслийн бүртгэлийн зардлын нэхэмжлэл {0},
Expense Claim {0} already exists for the Vehicle Log,Тээврийн хэрэгслийн бүртгэлд зардлын нэхэмжлэл {0} байна,
Fill the form and save it,Маягтыг бөглөж хадгална уу,
Filter Employees By (Optional),Ажилчдыг шүүх (заавал биш),
Fiscal Year {0} not found,Санхүүгийн жил {0} олдсонгүй,
Food,Хоол хүнс,
For Employee,Ажилтны хувьд,
From Date {0} cannot be after employee's relieving Date {1},Ажилтан чөлөөлөгдсөн огноо {1}-ээс хойш {0} байх боломжгүй.,
From Date {0} cannot be before employee's joining Date {1},Огнооноос {0} нь ажилтны нэгдсэн огноо {1}-ээс өмнө байж болохгүй,
From date can not be less than employee's joining date,Энэ өдрөөс эхлэн ажилтны нэгдсэн өдрөөс бага байж болохгүй,
Fuel Price,Шатахууны үнэ,
Fuel Qty,Шатахууны тоо,
Full-time,Бүтэн цагийн,
Future dates not allowed,Ирээдүйн огноог зөвшөөрөхгүй,
Get Details From Declaration,Тунхаглалаас дэлгэрэнгүй мэдээлэл аваарай,
Get Employees,Ажилчдыг авах,
Gross Pay,Нийт цалин,
Guest,Зочин,
Half Day,Хагас өдөр,
Half Day Date is mandatory,Хагас өдрийн огноо нь заавал байх ёстой,
Half Day Date should be between From Date and To Date,Хагас өдрийн огноо нь огнооноос өнөөг хүртэлх хооронд байх ёстой,
Half Day Date should be in between Work From Date and Work End Date,"Хагас өдрийн огноо нь ажлын өдрөөс хойш, ажил дуусах огнооны хооронд байх ёстой",
Half day date should be in between from date and to date,Хагас өдрийн огноо нь өдрөөс хойш өнөөг хүртэл байх ёстой,
Hello,Сайн уу,
House rent paid days overlapping with {0},Байрны түрээсийн төлбөртэй өдрүүд {0}-тэй давхцаж байна,
House rented dates required for exemption calculation,Чөлөөлөлтийг тооцоход шаардлагатай байшин түрээслэх хугацаа,
House rented dates should be atleast 15 days apart,Байшин түрээслэх хугацаа нь дор хаяж 15 хоногийн зайтай байх ёстой,
Interest Amount,Хүүгийн хэмжээ,
Intern,Дадлагажигч,
Job Description,Ажлын байрны тодорхойлолт,
Job Offer,Ажлын санал,
Jobs,Ажлын байр,
Leave Approval Notification,Зөвшөөрлийн мэдэгдлийг үлдээх,
Leave Blocked,Блоклосон орхи,
Leave Encashment,Бэлэн мөнгө үлдээх,
Leave Status Notification,Статусын мэдэгдлийг орхи,
Leave Type,Орхих төрөл,
Leave Type is madatory,Амрах төрөл заавал байх ёстой,
Leave Type {0} cannot be allocated since it is leave without pay,Амралтын төрөл {0} нь цалингүй чөлөө тул хуваарилах боломжгүй,
Leave Type {0} cannot be carry-forwarded,Амралтын төрлийг {0} шилжүүлэх боломжгүй,
Leave Type {0} is not encashable,Орхих төрөл {0} мөнгө шилжүүлэх боломжгүй,
Leave Without Pay,Төлбөргүй орхи,
"Leave cannot be allocated before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}",Ирээдүйн амралтын хуваарилалтын бүртгэлд амралтын үлдэгдэл аль хэдийн шилжсэн тул {0}-ээс өмнө чөлөө олгох боломжгүй. {1},
"Leave cannot be applied/cancelled before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}",Ирээдүйн амралтын хуваарилалтын бүртгэлд амралтын үлдэгдэл аль хэдийн шилжсэн тул {0}-ээс өмнө чөлөө олгох/цуцлах боломжгүй {1},
Leave of type {0} cannot be longer than {1},{0} төрлийн чөлөө нь {1}-ээс урт байж болохгүй,
Leaves,Навч,
Leaves Allocated Successfully for {0},Навчийг {0}-д амжилттай хуваариллаа,
Leaves per Year,Жилд навч,
Lifecycle,Амьдралын мөчлөг,
Mark Attendance,Ирцийг тэмдэглэ,
Max Exemption Amount cannot be greater than maximum exemption amount {0} of Tax Exemption Category {1},Чөлөөлөлтийн дээд хэмжээ нь {1} Татвараас чөлөөлөх ангиллын {0}-аас ихгүй байж болохгүй.,
Max benefits should be greater than zero to dispense benefits,Тэтгэмж олгохын тулд тэтгэмжийн дээд хэмжээ тэгээс их байх ёстой,
Maximum amount eligible for the component {0} exceeds {1},{0} бүрэлдэхүүнд тохирох дээд хэмжээ {1}-ээс хэтэрсэн байна,
Maximum benefit amount of component {0} exceeds {1},{0} бүрэлдэхүүн хэсгийн ашиг тусын дээд хэмжээ {1}-ээс хэтэрсэн байна,
Maximum benefit amount of employee {0} exceeds {1},Ажилтны тэтгэмжийн дээд хэмжээ {0} {1}-ээс хэтэрсэн байна,
Maximum leave allowed in the leave type {0} is {1},Амралтын төрөлд зөвшөөрөгдөх дээд хэмжээ {0} нь {1},
Medical,Анагаах ухаан,
Mode of payment is required to make a payment,Төлбөр хийхдээ төлбөрийн хэлбэр шаардлагатай,
More than one selection for {0} not allowed,{0}-н нэгээс олон сонголтыг зөвшөөрөхгүй,
Net Pay,Цэвэр төлбөр,
Net Pay cannot be less than 0,Цэвэр төлбөр 0-ээс бага байж болохгүй,
Net Salary Amount,Цалингийн цэвэр дүн,
Net pay cannot be negative,Цэвэр цалин сөрөг байж болохгүй,
No Employee Found,Ажилтан олдсонгүй,
No Salary Structure assigned for Employee {0} on given date {1},Өгөгдсөн {1} өдөр {0} ажилтны цалингийн бүтцийг томилоогүй,
No Staffing Plans found for this Designation,Энэ томилгоонд ажиллах боловсон хүчний төлөвлөгөө олдсонгүй,
No active or default Salary Structure found for employee {0} for the given dates,Өгөгдсөн өдрүүдэд {0} ажилтны идэвхтэй эсвэл өгөгдмөл цалингийн бүтэц олдсонгүй,
No more updates,Өөр шинэчлэлт байхгүй,
No replies from,-аас хариу алга,
No salary slip found to submit for the above selected criteria OR salary slip already submitted,Дээрх сонгосон шалгуурын дагуу өгөх цалингийн хуудас олдсонгүй ЭСВЭЛ аль хэдийн ирүүлсэн цалингийн хуудас,
Nothing to change,Өөрчлөх зүйл алга,
Notice Period,Халагдах хугацаа,
Only Leave Applications with status 'Approved' and 'Rejected' can be submitted,"Зөвхөн ""Зөвшөөрсөн"" болон ""Татгалзсан"" статустай өргөдлийг үлдээх боломжтой",
Optional Holiday List not set for leave period {0},Амралтын өдрийн жагсаалтыг {0}-д тохируулаагүй,
Part-time,Хагас цагийн,
Password policy for Salary Slips is not set,Цалингийн хуудасны нууц үгийн бодлогыг тохируулаагүй байна,
Payment Days,Төлбөрийн өдрүүд,
Payment of {0} from {1} to {2},{1}-с {2} хүртэлх {0}-н төлбөр,
Payroll,Цалин,
Payroll Number,Цалингийн дугаар,
Piecework,Хэсэгчилсэн ажил,
Please add the remaining benefits {0} to any of the existing component,Үлдсэн үр өгөөжийг {0} одоо байгаа аль нэг бүрэлдэхүүн хэсэгт нэмнэ үү,
Please confirm once you have completed your training,Сургалтаа дуусгасны дараа баталгаажуулна уу,
Please enable default incoming account before creating Daily Work Summary Group,Өдөр тутмын ажлын хураангуй бүлгийг үүсгэхээсээ өмнө өгөгдмөл ирсэн бүртгэлийг идэвхжүүлнэ үү,
Please select Company and Designation,Компани болон нэрийг сонгоно уу,
Please select Employee,Ажилтнаа сонгоно уу,
Please select a csv file,csv файл сонгоно уу,
Please set default template for Leave Approval Notification in HR Settings.,Хүний нөөцийн тохиргоонд зөвшөөрөл олгох мэдэгдлийн өгөгдмөл загварыг тохируулна уу.,
Please set default template for Leave Status Notification in HR Settings.,Хүний нөөцийн тохиргоонд Орхих статусын мэдэгдлийн өгөгдмөл загварыг тохируулна уу.,
Please set the Company,Компанийг тохируулна уу,
Please set the Date Of Joining for employee {0},Ажилтан {0}-д элссэн огноог тохируулна уу,
Please share your feedback to the training by clicking on 'Training Feedback' and then 'New',"Сургалтын талаарх санал хүсэлтээ ""Сургалтын санал хүсэлт"" дээр дараад ""Шинэ"" дээр дарж хуваалцана уу.",
Please update your status for this training event,Энэхүү сургалтын арга хэмжээний статусаа шинэчилнэ үү,
Present,Одоо байна,
Preview Salary Slip,Цалингийн хуудсыг урьдчилан үзэх,
Privilege Leave,Давуу эрх чөлөө,
Probation,Туршилт,
Probationary Period,Туршилтын хугацаа,
Property,Өмч,
Property already added,Өмчийг аль хэдийн нэмсэн,
Reject,Татгалзах,
Replies,Хариултууд,
Responsibilities,Хариуцлага,
Role,Үүрэг,
Row {0}# Allocated amount {1} cannot be greater than unclaimed amount {2},Мөр {0}# Хуваарилагдсан дүн {1} нэхэмжлээгүй дүнгээс {2} их байж болохгүй,
Row {0}# Paid Amount cannot be greater than requested advance amount,Мөр {0}# Төлсөн дүн нь хүссэн урьдчилгаа дүнгээс их байж болохгүй,
Salary Slip ID,Цалингийн хуудасны үнэмлэх,
Salary Slip of employee {0} already created for this period,Энэ хугацаанд аль хэдийн үүсгэсэн {0} ажилтны цалингийн хуудас,
Salary Slip of employee {0} already created for time sheet {1},Ажилтны {0} цалингийн хуудас {1} цагийн хуваарьт зориулж аль хэдийн үүсгэсэн,
Salary Structure Assignment for Employee already exists,Ажилтны цалингийн бүтцийн хуваарилалт аль хэдийн байна,
Salary Structure Missing,Цалингийн бүтэц дутуу байна,
Salary Structure not found for employee {0} and date {1},"{0} ажилтны цалингийн бүтэц, огноо {1} олдсонгүй",
Salary Structure should have flexible benefit component(s) to dispense benefit amount,Цалингийн бүтэц нь тэтгэмжийн хэмжээг олгох уян хатан тэтгэмжийн бүрэлдэхүүн хэсгүүдтэй байх ёстой,
"Salary already processed for period between {0} and {1}, Leave application period cannot be between this date range.","{0}-с {1} хүртэлх хугацааны цалинг аль хэдийн боловсруулсан, чөлөө авах өргөдөл гаргах хугацаа энэ хугацааны хооронд байж болохгүй.",
Sanctioned Amount cannot be greater than Claim Amount in Row {0}.,Шийдвэрлэсэн дүн нь {0} мөрийн нэхэмжлэлийн дүнгээс их байж болохгүй.,
Score must be less than or equal to 5,Оноо 5-аас бага буюу тэнцүү байх ёстой,
Select Property,Property сонгоно уу,
Select an employee to get the employee advance.,Ажилтны урьдчилгааг авахын тулд ажилтнаа сонго.,
Service Expense,Үйлчилгээний зардал,
Show Employee,Ажилчдыг харуулах,
Show Salary Slip,Цалингийн хуудас харуулах,
Sick Leave,Өвчний чөлөө,
